filters,Top 50000000 fingerprint.raw,Count
session.first:true,1.22d3b0164f50c04304d184df715001f4,2
session.first:true,1.2f3ca194a8b763040f8d31d26f7fb16c,2
session.first:true,1.68cb71c1ff7b583e63e55acbaf337370,2
session.first:true,1.69e48c4c6682975b7b3418485b8ae8e3,2
session.first:true,1.9a49187050c4d63b074a05e6b5563655,2
session.first:true,1.abd3ccfa6994e2d6b26dfda8c3386dbc,2
session.first:true,1.afe41bf03a34e64d12adc34ce65847aa,2
session.first:true,1.c8e8936a01f8482b9d1ea30af9e7d18a,2
session.first:true,1.d4c9b59878084ed511ece780bea6e259,2
session.first:true,1.d8c72822639c5123f8eae50d9b9a2afd,2
session.first:true,1.000feef50477b424e34c40292d1b27fe,1
session.first:true,1.0011f876737818d3fe7a6d62606215b1,1
session.first:true,1.00137eb131d334e6036da37f7ae37650,1
session.first:true,1.0018d8770334df185280c5375b844918,1
session.first:true,1.00268ba57b430be0d95844f51796f295,1
session.first:true,1.0033be87f466ae269462f6159e41f2c6,1
session.first:true,1.003469b04622e6a584d8875de3853c75,1
session.first:true,1.0035c8b562e8b6a57667160e6a6f6bd1,1
session.first:true,1.0046401311d22aec093c8d0b48e3cef1,1
session.first:true,1.004be472c3f8759ae48ec17fb00c4f3b,1
session.first:true,1.005239b76b0e0b2886634ef0f468a60e,1
session.first:true,1.0067b84242bdf620d38eda7e820f6104,1
session.first:true,1.0068ba0dc562bce054b2a87895434044,1
session.first:true,1.006e20923952e0b51e1efde821fc6dcd,1
session.first:true,1.00738a4cd927b367248c63fcfef302c1,1
session.first:true,1.007397acdd54be671e00bed314322c25,1
session.first:true,1.00766f42bea33cb3d6f362fab405e377,1
session.first:true,1.0076c85a5e298d37cbe77f4f1756aac9,1
session.first:true,1.007890f5e00485cc103bc8c2a8161b59,1
session.first:true,1.0079ab06741ecd9b80bc542290fada9b,1
session.first:true,1.008309068ac25c72bbdf2c7779480040,1
session.first:true,1.0085009b122a79608d89b2bd87c80621,1
session.first:true,1.009137a9a8d8984a678209b8476a88d2,1
session.first:true,1.0096583bd7be4b00c3ef14691a00ad0d,1
session.first:true,1.00a259d6c8193e8138c404f03e724d4b,1
session.first:true,1.00ab4bd1258d2f1f17cfa19db91b354c,1
session.first:true,1.00ac5ac5aed22c722049f7b635600fee,1
session.first:true,1.00b1d30704a0b6a3112a6b9a5fe77b2f,1
session.first:true,1.00b332e8ebf3400284d990de7c856106,1
session.first:true,1.00bc8c2a4a2126ca4c3d3db740a01563,1
session.first:true,1.00d0e2b9a9170be27089573186ea1c33,1
session.first:true,1.00da7a9ed83b146e40d926ba8dd6dd18,1
session.first:true,1.00e4d6498edc288f1bb32c793b5d9cca,1
session.first:true,1.00e50115110725f5d39b4ee41221c56e,1
session.first:true,1.00e54f7d95f2a57195b46802fbb9ee34,1
session.first:true,1.00ed122dd1db8b07ab6bddedb74e095b,1
session.first:true,1.00f1ba4a9d2f2e3d2c6ebb7344548098,1
session.first:true,1.00f613e3a2406b1a67d65e7dd8eb748b,1
session.first:true,1.00fb95eb7518c2f97c822ef9e9c746a3,1
session.first:true,1.00fd06a3c397ea42c2b08badc0785638,1
session.first:true,1.00febc80b885da5981f2e393a340e756,1
session.first:true,1.010193f7e6ec2812903b620b9b0ef4c8,1
session.first:true,1.0102a8cb21215668b045e618cb69843e,1
session.first:true,1.01103cd053f5530e535d934f5eb5ac4e,1
session.first:true,1.0110ee5fb31bb7a4b17276d7500295a5,1
session.first:true,1.0112797e2a038816288a5e851ed79b8d,1
session.first:true,1.011372daadb4819a9e6b710d14086595,1
session.first:true,1.01175d2150d60f7cdeff7cc8f9590dc1,1
session.first:true,1.011bb8bf729c25412fa624417ce4a5b1,1
session.first:true,1.011e5286abcbe4b2b06c200ad0d5364d,1
session.first:true,1.0128d02c6a1f4a78dbb9eaca9b6f8570,1
session.first:true,1.013574f9372d354a1e228063aaac9e98,1
session.first:true,1.01407cdbb88cfa0c83e3eef3ece09d1c,1
