filters,Top 50000000 fingerprint.raw,Count
session.first:false,1.b953dae8605e0ca51b5d333fea745f25,294
session.first:false,1.afad303b529a59b68a5057f92273415d,248
session.first:false,1.e00d2577219cb87d2e848c6ccdf72226,247
session.first:false,1.e68f9ea907b3c7fc42366f668efcc77c,185
session.first:false,1.929a577b55c968393de604315e6601c4,183
session.first:false,1.d55e4a6de032c7ef97e20317671fab24,165
session.first:false,1.43282a58227f3b8e9c2aa1d451737ffd,114
session.first:false,1.a1f32c6b59eb03fc6e54e2eadc7dae9d,97
session.first:false,1.b9f1e4116d7a1879f17cd7b3249806d7,93
session.first:false,1.d55f524cd126e43aae8d520caf4cb095,91
session.first:false,1.68f84d3541119fd2032b31ce16b3359e,88
session.first:false,1.1ae593ed422e79eb84180ec6c5950686,86
session.first:false,1.a86738648257f1f1555e3cbc5955d3dd,85
session.first:false,1.6f4a6412d4f873984dbf2630490b4249,84
session.first:false,1.139c78b702a1d5bc70096a808950f1d6,82
session.first:false,1.f16f6fa36c98fb1bf6faa51017852fa1,81
session.first:false,1.c6d3708a57245ea352f3d2dac3face1e,76
session.first:false,1.77b0a8f705f8c7e3e076ab72429c1075,75
session.first:false,1.dc39dc83db630f692a6992bf1d59dc05,71
session.first:false,1.47fdea03af96af86255d661aa5af0806,68
session.first:false,1.480226c5cf579c1c050bc3611cccb625,67
session.first:false,1.3520ad5c269a423509c12ceb3c43b701,66
session.first:false,1.5d8cd1f92b061be1edfd9fbc6cfbc29a,65
session.first:false,1.fd9a52c874cda4b7b8f90dfe5f803c96,62
session.first:false,1.b782f7299480b6877e7934e0382a973c,61
session.first:false,1.e741530e8e4e88bdae2815bda5a9eff0,60
session.first:false,1.85adcb8fcf86965925a60245e36f4158,55
session.first:false,1.b2348eccc9da250204af575a31574c58,54
session.first:false,1.d351a7b44bb895d77963ff1750767c6f,53
session.first:false,1.be9707a82ee7f1322925f4d6553a9639,51
session.first:false,1.5f5d555fd8a248ebb61bcf790d96938c,50
session.first:false,1.de5196575dbaea17b277e6e0eaf12df4,50
session.first:false,1.e22d494b7d167ceffbc1733701d29a2b,48
session.first:false,1.ce7c350102791b50db0b507649eb5436,47
session.first:false,1.bfafaf9fd893d5c849b1351028772ae9,46
session.first:false,1.4c114178c641848b50d437c6b4a88f4f,45
session.first:false,1.e2ae659557062924c685a9a1e85e9565,40
session.first:false,1.52ece25e9c7f9ecdbef8cdd4e41961ab,38
session.first:false,1.019f4ceb489f21249f9ca8082b8573c8,37
session.first:false,1.c10f6e89cbbb49158af35c818f040760,37
session.first:false,1.d4107bb01747e9a339f9aeed94eec3d1,37
session.first:false,1.4c2fd7b74c79595c28473b1411f1d724,36
session.first:false,1.9dd5306163d2beaa79f58806fbbe9726,36
session.first:false,1.3fda9d2894a6e8b605e0c6a9a3136ca4,34
session.first:false,1.d4f06096a0d5ad06169921d31446b9ce,33
session.first:false,1.55421424579cfc7a2a72a86ccc066de2,31
session.first:false,1.f4659d9de60533be3ab27b11a68ebec9,31
session.first:false,1.73d96406f066ef67f70320a9bd8ff6e2,30
session.first:false,1.b784959e6d58bca39857bec73785ad4f,30
session.first:false,1.cae500eeccc548f2d56117fb085018e1,30
session.first:false,1.e6f3535f05e024015b4db1926f7459f9,30
session.first:false,1.a0ed9e64da1104124e3a31eb99fb93e8,29
session.first:false,1.0a60e09c374e8d576373e1ec99789422,28
session.first:false,1.9a3be60045ab4f9ee4c135d5dc7361a1,28
session.first:false,1.c2d725a27110f585e27952a7443e8f87,28
session.first:false,1.c72c0c4de2b7aa1b2dd524bfe51930ae,28
session.first:false,1.cae092345eca1a7db09bf5e8cd645ced,28
session.first:false,1.1512d611bdfc32bec042e10fd6a9cfdc,27
session.first:false,1.3e7b1083b8296eb62ff14b25ca1d3a56,27
session.first:false,1.720b26bc10b066bf0ce91a6ae471dda3,26
session.first:false,1.c9a2cebcb52de54b90187c8dc968e476,26
session.first:false,1.069647bfa5f590c29edeb0cbef68dd11,24
session.first:false,1.0ad3a1b59bacdde3b8cf14d791e26d65,24
session.first:false,1.568c10576cc5bb08dba145c3084d4764,24
session.first:false,1.585d32f922b85b2b1811fe60b68436be,24
session.first:false,1.e860d37e7fcba0cbc0ad45a6c0c1cd9e,24
session.first:false,1.f1745fca9fba97221add5ee507a2b172,24
session.first:false,1.0345383366dd94fde9b591d13204d3c4,23
session.first:false,1.0a24578dfc8d70ca30fb11fddd1a5b33,23
session.first:false,1.0a873d66a5a8b20489ea2653c7a6f52c,23
session.first:false,1.633cfb5e4a2754a7ece5f0ab30520873,23
session.first:false,1.54be3e33a2455566184d86437534e32a,22
session.first:false,1.d52c7a5471e1bf4f93b11713db2f7fca,22
session.first:false,1.a5006f57fc6dd82b0c40664449d98b30,21
session.first:false,1.05ef08f5c43faa1f0bb23ec3c711905a,20
session.first:false,1.323e745a05e42d833614549acc756af2,20
session.first:false,1.5178632a353cdba07ecfb41d6fae9e8b,20
session.first:false,1.e9d5be28096e75e1a8f5380622215be2,20
session.first:false,1.17a086dfd6caf6e256de91dfa9411e75,19
session.first:false,1.2266205fa585debfbacae4a7d0f8ab68,19
session.first:false,1.2f1228d4d57346e2a78f1ba9baa318b9,19
session.first:false,1.51bf5f7b5a37c845a969bd02a3e6fb69,19
session.first:false,1.639ed0269a1882823bcdf3ecb726e0eb,19
session.first:false,1.6a0d7a25b75a59d852a7f9c875bcc927,19
session.first:false,1.ca9ccaac0765342b31e0859b2ad5fe18,19
session.first:false,1.1dfa4e0739237670e33ac4034756e90c,18
session.first:false,1.346a83747cd8fef1420430c7b3446303,18
session.first:false,1.7c467511ca4f9b7d540eebcbb018dcdf,18
session.first:false,1.c2f9376ee250e4600e84199788313d4a,18
session.first:false,1.6bf81b6aa5f9c221495bbebee6ae5c9f,17
session.first:false,1.780a9268e16b47955839a14931ddf098,17
session.first:false,1.baedf582bf3b3cbe5a1fa3336b19f23b,17
session.first:false,1.2c777ea4c2a144f6503b7ff2953a2844,16
session.first:false,1.31fd83a0c4bcff5d6670cd871ed593bf,16
session.first:false,1.379a83b2bf7c3141e59beee3f4dfd8b4,16
session.first:false,1.976f0152962e955af3d67b7dd1a5bdcf,16
session.first:false,1.dd794366d1bdf24562e8ca7ae0653e90,16
session.first:false,1.0ead9bd925c2f60407d8af460edd90c2,15
session.first:false,1.1b061329c2c37994e3156b7b5396b5e2,15
session.first:false,1.2583dc870296b77b4887533d16bd4086,15
session.first:false,1.2f3e2a0861b2f28a511ee97a091a7747,15
session.first:false,1.5995ef229e88dd842dd1d51ec9f18421,15
session.first:false,1.8b7655df18067c50a3141136c0db8df3,15
session.first:false,1.9416d7e05d040c78ed4086919ae27aa0,15
session.first:false,1.9a96881642a0ac067b7ccb8b3f407d91,15
