filters,Top 50000000 fingerprint.raw,Top 50000000 request.ip.raw,Count
session.first:true,1.000316345b6d39c67b213216e55b83bc,75.175.105.242,1
session.first:true,1.00040722d6ff7793cb9a8e5bceca2253,174.25.82.63,1
session.first:true,1.0004293bbe70eac4ad6439edf195521d,99.194.252.78,1
session.first:true,1.00044d914622dfbeb21e4ad78779a8f2,117.220.179.108,1
session.first:true,1.00131b11d82ce2afafe093a30cfdd535,71.29.88.211,1
session.first:true,1.0019d6a5156f52e5299830b217c79b94,69.178.181.51,1
session.first:true,1.00314393fe4da5051205d8c5258358ae,108.40.203.211,1
session.first:true,1.003e04dfafad07d9ba5333f89eba4221,108.194.134.40,1
session.first:true,1.003fd7b06dbd342c9ba2dd761a08b3df,173.170.4.13,1
session.first:true,1.00490c9b4a122748de1890c9452e85af,174.55.146.69,1
session.first:true,1.006c4dda2d31a58019f7bb3e2ea5c13e,45.48.79.61,1
session.first:true,1.006e66ccea002a627952fe35520fc6b1,108.43.192.44,1
session.first:true,1.00712b0c1217bbe8c2fdae4755d5cb78,67.160.6.228,1
session.first:true,1.0077b95f97510a5a08b00d0dd1a96535,98.177.202.109,1
session.first:true,1.0077d4855636ebb1b2734dc35a7e64ee,174.240.32.241,1
session.first:true,1.00833a7b31c5c4d85dce4453a5aa998c,131.191.23.175,1
session.first:true,1.009756eabc582065e795acc7a6e2c245,173.75.245.171,1
session.first:true,1.00aa59f245f9e27eeecac43aba0e6f5f,162.27.9.20,1
session.first:true,1.00aa7d58ccf09b970ac16b056ff17ba0,24.117.94.105,1
session.first:true,1.00ad5f0122ca1422c2e36fde9481a97c,45.48.117.226,1
session.first:true,1.00b22a1b27bd9de7d58fd5085dbba9b7,66.27.137.22,1
session.first:true,1.00b38665bcfd209fac42181f0856496b,69.232.204.54,1
session.first:true,1.00befd800c230302b55377e192efdc70,75.82.25.172,1
session.first:true,1.00cf4dc163271b2e77eeddd6f02628f3,70.209.208.92,1
session.first:true,1.00d0925cc53bce88ea9e5a003dc8867c,173.49.169.167,1
session.first:true,1.00d669cd879b1b66ecc5db947c6cb691,151.196.11.168,1
