filters,Top 50000000 fingerprint.raw,Count
session.first:true,1.929a577b55c968393de604315e6601c4,1
session.first:true,1.5050fdd5a788e1cf7a3ab24f80ac80f6,1
session.first:true,1.4c114178c641848b50d437c6b4a88f4f,1
session.first:true,1.c6d3708a57245ea352f3d2dac3face1e,1
session.first:true,1.0a60e09c374e8d576373e1ec99789422,1
session.first:true,1.519be19601843ee712e00463b1adde97,1
session.first:true,1.82b30ebe84d38e666de1519b609eb6f2,1
session.first:true,1.132253361b4df2e0c063d6fc1ff33bca,1
session.first:true,1.6f4a6412d4f873984dbf2630490b4249,1
session.first:true,1.36a9550fd4d3a3b8f4f2951d2007b138,1
session.first:true,1.55421424579cfc7a2a72a86ccc066de2,1
session.first:true,1.55ab6738fe9b25e1e8986b34f438b60c,1
session.first:true,1.9152e443ddd605d59b4cac817af1aee6,1
session.first:true,1.069647bfa5f590c29edeb0cbef68dd11,1
session.first:true,1.9bd4a3192ea91f218aa66ccb1b4818c4,1
session.first:true,1.98b9412055ad568704c2fc060a59080e,1
session.first:true,1.68f84d3541119fd2032b31ce16b3359e,1
session.first:true,1.031e5779ea344a4a8ade5dd413d55687,1
session.first:true,1.20fe5a4fd3280038be4174a7f8a472a2,1
session.first:true,1.6191b2649c05ef7296e575bdcbc968ea,1
session.first:true,1.73d96406f066ef67f70320a9bd8ff6e2,1
session.first:true,1.77b0a8f705f8c7e3e076ab72429c1075,1
session.first:true,1.6bf81b6aa5f9c221495bbebee6ae5c9f,1
session.first:true,1.867b5966ebdba1dcab87c21b375c73e2,1
session.first:true,1.043d7da17511cac046ec4bc761b72a4f,1
session.first:true,1.f552a9821a3218f4978ce9e5a9688884,1
session.first:true,1.0eb0f308c39b2778eb410c922eb6147e,1
session.first:true,1.58d41c2f98d1e267710239776591379b,1
session.first:true,1.8634996ed6825ac5b0439079b28ad4be,1
session.first:true,1.0a24578dfc8d70ca30fb11fddd1a5b33,1
session.first:true,1.0e47ce0c3550a14b3dd0ac05dfcca33c,1
session.first:true,1.461bd312b8a0e8827f4860c4652211db,1
session.first:true,1.0ead9bd925c2f60407d8af460edd90c2,1
session.first:true,1.513d2da67b8a488d00143601be4d85a8,1
session.first:true,1.48f53b9b1d7125df368241c7502a9bbe,1
session.first:true,1.5eee83c7bf6d84adbb15c056bcc34895,1
session.first:true,1.c64951c55bb9d3570eb14e0c8a759466,1
session.first:true,1.0a3162eea7d31c2fbb0ef2ff82b09b53,1
session.first:true,1.0f4c94e2a3ba099d45d560895bee19f6,1
session.first:true,1.31fd83a0c4bcff5d6670cd871ed593bf,1
session.first:true,1.3520ad5c269a423509c12ceb3c43b701,1
session.first:true,1.379a83b2bf7c3141e59beee3f4dfd8b4,1
session.first:true,1.52ece25e9c7f9ecdbef8cdd4e41961ab,1
session.first:true,1.65384432e7a8adafd664e58c5590c677,1
session.first:true,1.79c038be0de72e8b4c0e3efccd8f4cd1,1
session.first:true,1.877106bef9a0ea83ff08856ebf71ae80,1
session.first:true,1.007dc5ad017d8777da36debcc8e5ba8f,1
