filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.514e51906a36e24d72b0e5a4194e411b,1
session.first:true,1.f5bbbf14ce4698cfba27a29a2cc59587,1
session.first:true,1.c8a349ab54368cfc18f1997f3a7a4248,1
session.first:true,1.ee2c54eba9400ba18eeeee9819ac6003,1
session.first:true,1.9b693a4ab1538018124e219cfcdc6518,1
session.first:true,1.891fe765075a44cdd0e702a97b1c39e7,1
session.first:true,1.aa3cc1524950abb9ddf85e9bd4d18e0c,1
session.first:true,1.fa4ebc26dce0ee1acd724b00ea616039,1
session.first:true,1.9c5043995383c0e41030713746ad705e,1
session.first:true,1.defe50e18ebbae25c6ca3e6ff6229612,1
session.first:true,1.c0ed51bcc8e1a34b332c7241806ad4db,1
session.first:true,1.30fc7e0b6130a98f02cf920a123d6694,1
session.first:true,1.8a56b3dc0da6abb36b58107a8104af8c,1
session.first:true,1.3025a797a6f2088cd48502f9f23d6709,1
session.first:true,1.2be82eb37861df116772d3ea065c9bea,1
session.first:true,1.7253b0d1887f6edeec185b0aced1b3c5,1
session.first:true,1.49353bc1ca45da9504b60fa595949ff8,1
session.first:true,1.54fa42ad8c6340d28250a27d6af32589,1
session.first:true,1.c93ef03596d0e93718534dc42ec5c697,1
session.first:true,1.b64557f42cbfbb846e45c0fe4f7b8d99,1
session.first:true,1.f13e8e155108be5cd27eebb0606654cc,1
session.first:true,1.d79f66e5bba2fc1ff7320d91fa1becd2,1
session.first:true,1.7886b9091144657d38240f7d19931c51,1
session.first:true,1.76dba2b7f3e140578752d2ef8c45142a,1
session.first:true,1.70ce8a611072729f28df4608c632ee27,1
session.first:true,1.6f63b0f86d108b090f6cfd519ac7bdec,1
session.first:true,1.3ff8798d24ac5639a6b4fb8d581c690d,1
session.first:true,1.9a26ad9d4542c741a2ee9ba0e6a89103,1
session.first:true,1.9c72be260ea5f1a2547f4f6621647981,1
session.first:true,1.67a8f3b43bf175c51166ed3ac5b641d3,1
session.first:true,1.a1085b4a4f9fe2e7716d3a8cc8fa385b,1
session.first:true,1.2886dfaed121a8ac1d9af05533786d82,1
session.first:true,1.261a6b07e9f59eac595b15641ec255cc,1
session.first:true,1.4ef06a133d01960d93e48b35fb4082f4,1
session.first:true,1.9ea197b4e34618e15184d8c99009c379,1
session.first:true,1.461ab5838007654e08f8b698f8bd5679,1
session.first:true,1.a77c37ef402c3aec110831fa82254fcc,1
session.first:true,1.fa2ab94ee2b58d6ff965ce9209e20d7f,1
session.first:true,1.fd2e532f873c521e72a9d8034a6b48ac,1
session.first:true,1.1689e6d34de7fcb97ec3409b2ea10c56,1
session.first:true,1.1c634ab4b52591908654dd7bf16531b0,1
session.first:true,1.368a11e4e4edd01d3ea256d0b77c4038,1
session.first:true,1.9956461a31f2385b8ec484043a79026c,1
session.first:true,1.42b1c1c80c17945820388c0c007d1e2d,1
session.first:true,1.267206fa2eed5685da0b34e7548b1d64,1
session.first:true,1.636e7626619a4d8b66069a3068d9771e,1
session.first:true,1.ff9affe62b53e2cfd4f86137f0c5f21c,1
session.first:true,1.f5c3246ff09abb521f48afc19da4bd31,1
session.first:true,1.dc4eeb081b7ea0b86fe3d64d3bd78b05,1
session.first:true,1.1c5439404618d451c78bc5a431ea353a,1
session.first:true,1.d993d19ee0f4011878cde286f64defdd,1
session.first:true,1.30362973b194d0acbadcfe8850c46add,1
session.first:true,1.223161ca8d634688856cbea46cf2815c,1
session.first:true,1.1132f9e54fd7d1ef1328d8ff005de416,1
session.first:true,1.853fd4d39207d35468d5d9274280c0f4,1
session.first:true,1.c28011f9f5c6e70987d71038b7da3eea,1
