filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:true,1.acbc449cc242fae89dfe78673b1b675d,1
session.first:true,1.be8105520dbd860791761b10b154f418,1
session.first:true,1.bf6ab13d83d1eb09f71f072d81bc85cf,1
session.first:true,1.987ed7546a2bb1128ea6faa58eb7b339,1
session.first:true,1.c3fffe0fb9852227369eaf5d0495b764,1
session.first:true,1.791065b5e2181d46c6038331d5e1d041,1
session.first:true,1.98dfc20b1e8d90e8589520dd77e12879,1
session.first:true,1.1dd7a44634f29c88628c3a517c489cba,1
session.first:true,1.b8a8c7835d7893c543d2b0e0d84e6ce3,1
session.first:true,1.91638ac7ee197d5ab6bc5e538a31e3d3,1
session.first:true,1.f0c70c10008af1604bd31f87f1c284a4,1
session.first:true,1.18ee30b0fc575a515e14bff46394ac5d,1
session.first:true,1.9ea0c77f06500b1c59d9fae22e57ecd4,1
session.first:true,1.72a5e54425c54e939c11480717788755,1
session.first:true,1.0b7d551eb83121c11b9a25adf959f34d,1
session.first:true,1.f086a8e3b28588a86f7fc96a6ed615d0,1
session.first:true,1.b4c1d79262042a675a55841e0dcb2e1f,1
session.first:true,1.2ba8b9be26dcf878ee83bc4ea852d7b9,1
session.first:true,1.55dbe96085c4d85a0f192a47b115b657,1
session.first:true,1.552320795ae81571b3309b34ef00b1ac,1
session.first:true,1.612ec8c1d44e2024773f7a65fa61a0f1,1
session.first:true,1.c09a9f002795090119a9fe73ae3a9c72,1
session.first:true,1.a692eb8849bf36894c6d0a1dbe80572d,1
session.first:true,1.7350377f325583c9bcbc30009dc9bb55,1
session.first:true,1.e28ae5335baf815d5d80794efc892c70,1
session.first:true,1.61c4227509b9c36783a3da00e6de0fc5,1
session.first:true,1.67364c804ae3b733e6df451d286eb5fb,1
session.first:true,1.a751cc2c58df18dad9d04b3888c2cedb,1
session.first:true,1.597eafe8024b4ac65bfd4aa18d5c2686,1
session.first:true,1.2b3059a24f4d49dd39e412e9a8743952,1
session.first:true,1.096c04079064360c8c82264f0aa20f4c,1
session.first:true,1.d14d6c0f0e53705d0f23c81ea93561c1,1
session.first:true,1.0a652b00034dd40b649ebece6ab57a73,1
session.first:true,1.9afa9b32e679b9d9e9f2716fd0217659,1
session.first:true,1.6ccf2ccd48166b52af88a7a645bb4a77,1
session.first:true,1.60db88ac41ddf58606c0811f1df401e2,1
session.first:true,1.244e7dafd12e53a5c442b6b5135ad93f,1
session.first:true,1.62cd9396e31a0b62608f2781445691f7,1
session.first:true,1.d410a7e7ce9998eff598903408f5fdb7,1
session.first:true,1.3ead6ffbbfc03be1d1a520c70565abfa,1
session.first:true,1.81190dc5658e4c58d1c9b68c192d6a29,1
session.first:true,1.f8799f7eb0dd1046af8b5519de8c7942,1
session.first:true,1.84f310860b49e198e8e84f6a174684c0,1
session.first:true,1.c4d4b38d0071359c1f9675e11ca19ec5,1
session.first:true,1.c7fc02bea25a9486292a8e741d47106b,1
session.first:true,1.c8acc626cde156e3c14d696409024528,1
session.first:true,1.592f0244a672baf791030c7e4688395d,1
session.first:true,1.ff3d4ce0f8e7466a231ba7aeb6b59c93,1
session.first:true,1.1d2fefea1060e8e80d7ab3ec81e51789,1
session.first:true,1.a1858c1a7d1a571a320b6618d8101a68,1
session.first:true,1.4a0ba5babca124abe9c894a561e70063,1
session.first:true,1.b1e2d337e209f8dc2f1f5bfccd271f6c,1
session.first:true,1.eacd3f87975ea53e791324bdd17cad0a,1
session.first:true,1.04636afae15636ca2bf0163ac2e883a8,1
session.first:true,1.22cfd70238a8050fe922d7b202141eca,1
session.first:true,1.b54c72d9854fa97dbe9eb95f2d0c616e,1
