filters,Top 50000000 fingerprint.raw,Unique count of fingerprint.raw
session.first:false,1.c94f795fcd6ff9450ab9705ce9e4beb6,1
session.first:false,1.aa3cc1524950abb9ddf85e9bd4d18e0c,1
session.first:false,1.5ea667902c2de13cda928a6adcaf4937,1
session.first:false,1.f0c70c10008af1604bd31f87f1c284a4,1
session.first:false,1.7253b0d1887f6edeec185b0aced1b3c5,1
session.first:false,1.604825458541198eaa2f1143968578d6,1
session.first:false,1.74d27de506ff9479aac9bc58b40004e1,1
session.first:false,1.7ba7c418db72cdb515536d36f3103c78,1
session.first:false,1.302601d669f179254c4d23fba36b6d81,1
session.first:false,1.ef3ce44d295e89794e8c6ca2ee3e5fb4,1
session.first:false,1.669d1b9d87959e77e23973e17f66ae66,1
session.first:false,1.197634259bb73f3278a35ac8a7782ba6,1
session.first:false,1.06faf3daff0b787ac903c6634f0ddf29,1
session.first:false,1.8824f2d637bfe08747990ba397adc824,1
session.first:false,1.87ecd3156fb7f5367760643d770edc50,1
session.first:false,1.461ab5838007654e08f8b698f8bd5679,1
session.first:false,1.a64212022f8debe667e21e3701f776bb,1
session.first:false,1.04ae81ccfce08fb637f9628e59fc0762,1
session.first:false,1.36a9550fd4d3a3b8f4f2951d2007b138,1
session.first:false,1.8fde555a0fe2de5493951e16c80abeb8,1
session.first:false,1.826dc1b4b11672c1d6b13e9c337cfc28,1
session.first:false,1.267206fa2eed5685da0b34e7548b1d64,1
session.first:false,1.d7aeb73ec93203b7615ec1193732f11c,1
session.first:false,1.a65c4ef67371ce6dc4cb8d15c2a7e12d,1
session.first:false,1.4c2fd7b74c79595c28473b1411f1d724,1
session.first:false,1.f44f03582643579adc1894159b77cbf9,1
session.first:false,1.d1bee046aacc774d7dbd53bae431639a,1
session.first:false,1.ee8b21c00791b69b86f3f647ef821284,1
session.first:false,1.077399ead8a5110dd368f056543f61ca,1
session.first:false,1.eadcb16451060ef9f8f3d484b2c5fc76,1
session.first:false,1.26da0b6eb512895889f473276078ba62,1
session.first:false,1.ae211b9d410de10e67e88c67c80442fb,1
session.first:false,1.4fccf64e6fce4f3c074b2db899816559,1
session.first:false,1.585d32f922b85b2b1811fe60b68436be,1
session.first:false,1.4936f1c81d80aa8399f7c2fe2d5bf5d3,1
session.first:false,1.27871f9aed343d4647fd2a2fff7ca115,1
session.first:false,1.1721aec020caee626535c8e4592907c7,1
session.first:false,1.0f0195ae78076cc4dbca51a20126c786,1
session.first:false,1.fa93f6505f20ba4488ed1d3193996a22,1
session.first:false,1.780a9268e16b47955839a14931ddf098,1
session.first:false,1.9742b6fb93ae9639fab9da78738b6166,1
session.first:false,1.35ab80f8047c85cd23390ec026919385,1
